Random1 score,Random2 score,Random3 score,Flex1 score,Random1 won,Random2 won,Random3 won,Flex1 won
35200,31200,49800,44500,0,0,1,0
27300,66900,45400,41900,0,1,0,0
29500,48900,32300,39500,0,1,0,0
39500,46600,40800,43200,0,1,0,0
45300,47600,53900,43400,0,0,1,0
38300,34900,40000,73300,0,0,0,1
41800,48300,37200,30800,0,1,0,0
42000,38800,39000,52200,0,0,0,1
51800,53400,26600,24700,0,1,0,0
32100,29700,59000,55500,0,0,1,0
47000,35000,43100,66500,0,0,0,1
43300,38900,49300,63900,0,0,0,1
30700,48000,36600,57700,0,0,0,1
56300,29400,41400,39300,1,0,0,0
53600,49700,26700,37000,1,0,0,0
23400,56900,48700,57500,0,0,0,1
41700,39300,43200,37900,0,0,1,0
46300,38800,56100,45100,0,0,1,0
51500,36000,35300,67500,0,0,0,1
45000,38400,43500,44300,1,0,0,0
29100,40900,44700,46700,0,0,0,1
35100,48300,21600,56900,0,0,0,1
51900,35600,52100,46800,0,0,1,0
57900,35700,35300,40900,1,0,0,0
38400,62900,47200,42100,0,1,0,0
38800,33200,55500,41900,0,0,1,0
21600,47900,47700,62700,0,0,0,1
45200,32100,54900,62700,0,0,0,1
42100,41200,37000,35900,1,0,0,0
56800,24600,43900,39800,1,0,0,0
36000,47900,35100,48800,0,0,0,1
60500,39900,41700,52000,1,0,0,0
34100,50500,54400,46200,0,0,1,0
48300,51400,54600,41300,0,0,1,0
37900,63200,41000,49300,0,1,0,0
35500,52800,25800,46900,0,1,0,0
68000,46600,25500,39600,1,0,0,0
46000,53200,54300,40800,0,0,1,0
24500,31700,32200,29600,0,0,1,0
39600,46600,57600,55800,0,0,1,0
27900,57900,55200,45300,0,1,0,0
27900,56400,37700,47000,0,1,0,0
32200,30300,18600,57100,0,0,0,1
46800,19500,34900,24600,1,0,0,0
49900,36400,49900,48600,1,0,1,0
41200,40500,45300,61300,0,0,0,1
59300,49500,35000,53600,1,0,0,0
30700,44100,63100,37800,0,0,1,0
53100,42400,28900,69000,0,0,0,1
45500,53000,53000,30300,0,1,1,0
61700,49900,16500,48900,1,0,0,0
30800,37600,30600,47800,0,0,0,1
41000,54300,32800,56100,0,0,0,1
40600,31900,52100,43500,0,0,1,0
42100,45600,36200,56700,0,0,0,1
46600,30800,35600,41500,1,0,0,0
48200,36500,36800,32500,1,0,0,0
44200,38900,45700,53300,0,0,0,1
53200,33200,46700,44400,1,0,0,0
43800,32100,51400,65900,0,0,0,1
49700,47100,56200,30400,0,0,1,0
48100,43100,47600,53200,0,0,0,1
42700,53500,36200,37100,0,1,0,0
53500,35800,30600,57700,0,0,0,1
49000,59500,54000,45100,0,1,0,0
50600,55800,36100,54600,0,1,0,0
43900,40200,31500,39900,1,0,0,0
45600,37300,38300,55000,0,0,0,1
35000,48400,41000,51300,0,0,0,1
25300,64100,31700,27500,0,1,0,0
43300,27800,32200,43800,0,0,0,1
57800,41500,35700,74000,0,0,0,1
69200,43400,31900,54100,1,0,0,0
46600,31900,48400,29900,0,0,1,0
30500,39200,49500,27400,0,0,1,0
58800,42500,61600,43300,0,0,1,0
35400,36600,58400,43300,0,0,1,0
66600,25500,42000,60800,1,0,0,0
31100,30700,56900,65600,0,0,0,1
49800,60400,54700,36000,0,1,0,0
40700,40500,59700,39700,0,0,1,0
46500,28900,39900,53900,0,0,0,1
42300,41700,43900,58900,0,0,0,1
52700,43800,39300,46600,1,0,0,0
51500,34200,42200,35100,1,0,0,0
42000,33800,58200,37400,0,0,1,0
61700,35700,49100,49000,1,0,0,0
39200,32400,36200,45600,0,0,0,1
47900,44000,32900,52400,0,0,0,1
28600,57900,42600,61600,0,0,0,1
48300,47700,38200,43200,1,0,0,0
50300,23600,45500,71100,0,0,0,1
36200,41600,59300,58400,0,0,1,0
45400,62000,35600,50200,0,1,0,0
29300,48300,47800,51500,0,0,0,1
42800,38000,30800,31900,1,0,0,0
37700,38000,67800,43000,0,0,1,0
60500,24600,51900,54700,1,0,0,0
38900,41800,34500,40800,0,1,0,0
29900,50500,38400,64400,0,0,0,1
45500,48600,50700,61600,0,0,0,1
61000,48300,25300,52000,1,0,0,0
39200,42700,37300,49300,0,0,0,1
51600,35500,47800,52500,0,0,0,1
44000,46900,41200,55900,0,0,0,1
53900,30800,36500,52900,1,0,0,0
40900,61000,25100,45100,0,1,0,0
41300,31900,43600,37100,0,0,1,0
43000,33300,27900,44500,0,0,0,1
40500,36200,51400,61000,0,0,0,1
35100,48500,42800,36500,0,1,0,0
49200,53100,36000,55500,0,0,0,1
44900,43500,48200,38800,0,0,1,0
53000,57100,33300,43700,0,1,0,0
38000,38400,62900,57700,0,0,1,0
33300,51200,32500,45100,0,1,0,0
70600,51800,29600,49200,1,0,0,0
28100,40300,67000,35100,0,0,1,0
30200,52600,44300,35600,0,1,0,0
39600,67800,39600,25000,0,1,0,0
53300,52100,46500,48700,1,0,0,0
58700,41600,60800,41000,0,0,1,0
51800,58100,22400,41500,0,1,0,0
50200,47200,39700,70100,0,0,0,1
57700,60500,28800,44900,0,1,0,0
36300,42900,36200,45000,0,0,0,1
49000,39600,40500,57200,0,0,0,1
62500,29400,43700,37000,1,0,0,0
53900,40700,46600,47600,1,0,0,0
40200,40600,44400,46500,0,0,0,1
43000,49300,39300,56100,0,0,0,1
39100,48100,31200,45800,0,1,0,0
61100,39800,37600,36200,1,0,0,0
41000,31500,43100,37200,0,0,1,0
54600,49400,47500,46600,1,0,0,0
34600,41600,44200,36500,0,0,1,0
43500,51700,59600,24400,0,0,1,0
44200,42100,35400,76000,0,0,0,1
43100,41600,46900,49700,0,0,0,1
53700,36600,38300,50100,1,0,0,0
51700,57200,33000,53700,0,1,0,0
37800,44000,45500,68100,0,0,0,1
61000,25100,49700,41000,1,0,0,0
47400,36300,42500,73800,0,0,0,1
43400,39100,54700,47200,0,0,1,0
67500,30000,42700,47500,1,0,0,0
44200,37500,38800,34500,1,0,0,0
28000,53000,38000,52200,0,1,0,0
36900,38400,53700,58900,0,0,0,1
38200,44100,34100,56200,0,0,0,1
50700,48600,50100,33600,1,0,0,0
27400,53800,27400,68500,0,0,0,1
44100,34000,54600,49500,0,0,1,0
47600,51300,55000,42300,0,0,1,0
42600,36800,56500,62900,0,0,0,1
46800,40100,35700,51900,0,0,0,1
43800,26900,42600,45800,0,0,0,1
50900,51800,40900,43700,0,1,0,0
44500,33300,38800,36500,1,0,0,0
36900,44500,54300,33500,0,0,1,0
36700,36000,30700,80100,0,0,0,1
46900,45400,24500,73400,0,0,0,1
45600,31100,43600,71900,0,0,0,1
47500,35400,15800,61200,0,0,0,1
40500,48900,42100,49400,0,0,0,1
60200,44500,52800,52800,1,0,0,0
53400,32000,49500,66700,0,0,0,1
26400,52800,48100,42100,0,1,0,0
32000,45200,61300,55300,0,0,1,0
26100,53000,43600,37600,0,1,0,0
24000,51400,38100,36600,0,1,0,0
37400,37100,35500,37200,1,0,0,0
34500,60700,47600,41500,0,1,0,0
24300,44400,34300,38500,0,1,0,0
47000,43600,58400,42100,0,0,1,0
35300,48500,45100,71600,0,0,0,1
33200,50900,56800,39600,0,0,1,0
53500,33700,41500,42900,1,0,0,0
34200,50700,46100,59000,0,0,0,1
26500,48400,66100,53700,0,0,1,0
29000,36400,38400,47400,0,0,0,1
32400,46600,53300,41100,0,0,1,0
57800,39500,40200,52500,1,0,0,0
37700,39600,19600,38900,0,1,0,0
38200,55500,47500,40500,0,1,0,0
41100,26400,53400,59700,0,0,0,1
38200,43000,44500,35800,0,0,1,0
31500,30600,48800,33500,0,0,1,0
34700,41600,45000,56100,0,0,0,1
60500,20300,29800,34400,1,0,0,0
29900,50100,58300,42100,0,0,1,0
47000,61300,39900,54300,0,1,0,0
30500,66300,47800,55400,0,1,0,0
44000,39500,46500,72800,0,0,0,1
34300,46400,57200,59100,0,0,0,1
62700,30800,30600,32800,1,0,0,0
29700,52900,52100,60900,0,0,0,1
51100,30600,57600,52100,0,0,1,0
47900,50500,43000,22100,0,1,0,0
47400,38400,54000,48400,0,0,1,0
35300,48000,56900,59600,0,0,0,1
36100,32100,50300,68700,0,0,0,1
31400,38200,43600,44000,0,0,0,1
47200,34000,35600,65100,0,0,0,1
48100,61900,33600,51400,0,1,0,0
38300,52600,34400,42700,0,1,0,0
68100,35900,30300,63700,1,0,0,0
31400,65800,46600,52600,0,1,0,0
44800,50100,28300,65300,0,0,0,1
44300,33000,44200,46300,0,0,0,1
49900,45300,51400,63600,0,0,0,1
49600,45900,43800,60100,0,0,0,1
39000,37900,40000,63100,0,0,0,1
37500,44500,26000,52200,0,0,0,1
32500,52900,39600,62700,0,0,0,1
49900,40100,25200,64600,0,0,0,1
40900,39400,38600,38800,1,0,0,0
48500,34600,35200,67300,0,0,0,1
33800,47000,50900,59000,0,0,0,1
45500,31200,45100,36900,1,0,0,0
58000,42400,33000,44300,1,0,0,0
45200,47700,47800,42500,0,0,1,0
37000,51800,21800,58600,0,0,0,1
44000,54500,29900,35300,0,1,0,0
64000,46300,39600,40900,1,0,0,0
37300,50200,43200,66900,0,0,0,1
41500,34600,30300,47200,0,0,0,1
39600,34000,50200,67400,0,0,0,1
39800,30000,57100,45400,0,0,1,0
42100,60700,46100,49300,0,1,0,0
42300,36900,35700,77200,0,0,0,1
54900,47100,38000,57200,0,0,0,1
45100,35800,43100,37000,1,0,0,0
49300,41000,25600,42100,1,0,0,0
30000,23700,73300,55200,0,0,1,0
62400,41500,36600,45200,1,0,0,0
31100,35700,65900,57200,0,0,1,0
38300,29300,59900,41900,0,0,1,0
46800,46100,28400,54800,0,0,0,1
55200,52100,25200,38500,1,0,0,0
40800,35900,55500,49800,0,0,1,0
27600,61200,41900,19200,0,1,0,0
40800,51200,32800,53800,0,0,0,1
51400,25000,35600,60200,0,0,0,1
35800,40100,25300,54700,0,0,0,1
19200,36600,36200,31700,0,1,0,0
60200,33600,55500,42500,1,0,0,0
48500,46500,42200,64100,0,0,0,1
51300,34900,61700,43800,0,0,1,0
49600,52600,16700,55100,0,0,0,1
51700,31600,29300,44500,1,0,0,0
54800,47700,45400,39200,1,0,0,0
40000,58100,24800,38200,0,1,0,0
25200,51000,51900,37800,0,0,1,0
28100,41300,44500,36400,0,0,1,0
53300,28100,66300,55200,0,0,1,0
53200,61800,26900,52300,0,1,0,0
44000,59400,38200,36200,0,1,0,0
27400,47000,47800,56200,0,0,0,1
43400,30800,58700,39200,0,0,1,0
47100,46300,40900,38900,1,0,0,0
54100,50900,26100,51200,1,0,0,0
64000,39300,38600,48700,1,0,0,0
43600,47400,53500,50700,0,0,1,0
29900,45000,43100,54700,0,0,0,1
50900,35500,64300,35800,0,0,1,0
53700,44600,35800,43600,1,0,0,0
43300,52700,34500,63900,0,0,0,1
43900,38600,35400,36200,1,0,0,0
44900,42600,42000,34100,1,0,0,0
54700,56100,35000,64400,0,0,0,1
43100,45000,47500,57900,0,0,0,1
44500,36400,40700,29300,1,0,0,0
56100,47700,48500,61900,0,0,0,1
39300,34300,50000,59600,0,0,0,1
22600,47700,41400,43900,0,1,0,0
57700,47100,20000,63900,0,0,0,1
51900,41900,44100,68100,0,0,0,1
58500,35000,42600,44900,1,0,0,0
42200,37500,42100,47900,0,0,0,1
46200,37800,59000,56400,0,0,1,0
41800,26800,50900,38900,0,0,1,0
39800,41200,39900,58700,0,0,0,1
40800,41300,58400,52600,0,0,1,0
41200,36700,63600,59300,0,0,1,0
31800,63500,51500,39500,0,1,0,0
51900,41600,36400,77700,0,0,0,1
65200,33400,38400,33800,1,0,0,0
33400,48400,48200,38700,0,1,0,0
34300,43800,43500,56400,0,0,0,1
43300,48400,32200,44300,0,1,0,0
56800,49100,52600,29000,1,0,0,0
47200,50200,51800,43200,0,0,1,0
50300,36000,66300,45300,0,0,1,0
40300,50800,25500,38000,0,1,0,0
33000,42400,48800,65500,0,0,0,1
46900,57300,42200,33900,0,1,0,0
29300,43500,22900,34600,0,1,0,0
42400,35100,21600,57300,0,0,0,1
33000,55100,36900,50800,0,1,0,0
37300,41700,43300,43800,0,0,0,1
46400,41900,45200,45100,1,0,0,0
28200,26500,45600,29000,0,0,1,0
42800,50400,35400,65600,0,0,0,1
30300,44800,51500,43500,0,0,1,0
31200,58300,34200,36800,0,1,0,0
42300,34000,39000,43000,0,0,0,1
36700,53600,44800,68500,0,0,0,1
41200,66500,42600,39300,0,1,0,0
43100,38500,60700,29700,0,0,1,0
46500,35400,56400,67200,0,0,0,1
39400,29400,36600,43000,0,0,0,1
50100,39700,44000,43600,1,0,0,0
38400,51500,39300,51600,0,0,0,1
44500,35900,37300,39400,1,0,0,0
44700,47800,40900,41300,0,1,0,0
40900,22900,28300,37100,1,0,0,0
54600,34700,40500,51800,1,0,0,0
49200,31400,67100,26500,0,0,1,0
33500,69700,42400,51400,0,1,0,0
24100,51800,36700,46600,0,1,0,0
40700,48000,52800,34900,0,0,1,0
56300,38800,48200,56900,0,0,0,1
32500,31900,17800,28500,1,0,0,0
31500,46000,23800,43200,0,1,0,0
41200,33000,49200,62700,0,0,0,1
31700,52600,48800,70900,0,0,0,1
15700,46600,44300,49800,0,0,0,1
43000,46600,51400,51800,0,0,0,1
21700,36900,51600,67800,0,0,0,1
38500,31300,28900,46100,0,0,0,1
62200,42800,41900,57000,1,0,0,0
42100,36300,33700,50800,0,0,0,1
25900,42300,47400,48700,0,0,0,1
49800,35000,32900,38100,1,0,0,0
40300,56100,37400,38900,0,1,0,0
48800,53100,47100,27600,0,1,0,0
52900,36100,46900,46400,1,0,0,0
42300,34100,36400,25800,1,0,0,0
47400,54800,48900,40400,0,1,0,0
50600,52400,31900,43100,0,1,0,0
33900,30500,46700,43500,0,0,1,0
42800,32800,45000,42600,0,0,1,0
71400,44400,44400,46100,1,0,0,0
54600,42900,34100,53000,1,0,0,0
54200,45200,40000,48300,1,0,0,0
45500,58300,36100,62000,0,0,0,1
45900,27900,43400,53500,0,0,0,1
35900,53700,52500,50400,0,1,0,0
56900,49600,32900,43500,1,0,0,0
52400,38600,37500,35000,1,0,0,0
25800,47800,48700,69500,0,0,0,1
21500,42900,51800,47900,0,0,1,0
43400,33200,45000,64400,0,0,0,1
11300,16000,14200,29300,0,0,0,1
36600,50100,51100,54100,0,0,0,1
48900,35900,45900,65400,0,0,0,1
24000,53500,61300,64000,0,0,0,1
52200,46300,37500,34300,1,0,0,0
39900,42800,40300,59900,0,0,0,1
18600,55500,55400,65900,0,0,0,1
29000,59400,44400,48300,0,1,0,0
60700,45700,34600,46700,1,0,0,0
42900,60300,40900,53800,0,1,0,0
41000,33000,54900,42400,0,0,1,0
48600,31800,55300,48100,0,0,1,0
63200,45800,36200,51200,1,0,0,0
50800,34100,30600,30300,1,0,0,0
42300,29700,52500,47900,0,0,1,0
56300,49600,38800,47700,1,0,0,0
40500,44600,47300,44500,0,0,1,0
61900,34500,43500,61300,1,0,0,0
38100,36800,42200,54600,0,0,0,1
31300,37400,62100,39900,0,0,1,0
28500,54900,42300,54500,0,1,0,0
38400,30800,51000,38800,0,0,1,0
28300,45200,33400,48300,0,0,0,1
55400,47500,34500,59400,0,0,0,1
47500,51400,56000,47500,0,0,1,0
40800,36100,56400,58600,0,0,0,1
39100,55100,37400,61300,0,0,0,1
51600,50700,37400,43600,1,0,0,0
28300,34600,38100,57100,0,0,0,1
55500,28000,60300,29800,0,0,1,0
26000,35500,48500,48000,0,0,1,0
45100,41400,32700,54400,0,0,0,1
56200,38600,52400,51000,1,0,0,0
45500,25300,47200,37300,0,0,1,0
44700,31100,29000,52700,0,0,0,1
47700,52900,31900,31600,0,1,0,0
49000,48500,45800,26900,1,0,0,0
28600,34800,40800,64800,0,0,0,1
39000,53400,51200,72800,0,0,0,1
53800,63500,29300,49100,0,1,0,0
